net,length_um
net803,11.98
_01669_,11.96
_05491_,11.96
_07263_,11.96
_11388_,11.96
_11435_,11.96
top_inst.skew_buff_inst.row\[2\].has_delay.shift_reg\[1\]\[2\],11.96
net911,11.96
_05417_,11.94
_06567_,11.94
_07036_,11.94
_07861_,11.94
_10142_,11.93
_02307_,11.92
_06114_,11.92
_07504_,11.92
_07673_,11.92
_07678_,11.92
_08855_,11.92
_09260_,11.92
_09690_,11.92
_09809_,11.92
_11201_,11.92
_11528_,11.92
output_tdata[100],11.92
output_tdata[103],11.92
output_tdata[114],11.92
output_tdata[118],11.92
output_tdata[11],11.92
output_tdata[120],11.92
output_tdata[124],11.92
output_tdata[126],11.92
output_tdata[20],11.92
output_tdata[2],11.92
output_tdata[36],11.92
output_tdata[46],11.92
output_tdata[48],11.92
output_tdata[49],11.92
output_tdata[4],11.92
output_tdata[52],11.92
output_tdata[61],11.92
output_tdata[81],11.92
output_tdata[86],11.92
output_tdata[88],11.92
output_tdata[99],11.92
_01246_,11.91
_02580_,11.9
_03237_,11.9
_05505_,11.9
_05660_,11.9
_07212_,11.9
_07682_,11.9
_10935_,11.9
_05880_,11.895
_00298_,11.885
_00178_,11.88
_01718_,11.88
_02214_,11.88
_02574_,11.88
_03118_,11.88
_03322_,11.88
_05610_,11.88
_06524_,11.88
_07005_,11.88
_07967_,11.88
_08584_,11.88
_08861_,11.88
_09524_,11.88
_09655_,11.88
_10454_,11.88
_10552_,11.88
_11428_,11.88
_11653_,11.88
net897,11.88
_03308_,11.86
_07652_,11.86
_09421_,11.86
_10199_,11.86
_00858_,11.845
_03113_,11.84
_03169_,11.84
_09839_,11.84
_10399_,11.84
_10621_,11.84
_11358_,11.84
top_inst.axis_out_inst.out_buff_data\[23\],11.84
top_inst.skew_buff_inst.row\[0\].output_reg\[6\],11.84
_00959_,11.82
_01934_,11.82
_03374_,11.82
_06383_,11.82
_06515_,11.82
_06866_,11.82
_09748_,11.82
_11586_,11.82
_03456_,11.81
_02178_,11.8
_02253_,11.8
_02334_,11.8
_02658_,11.8
_05430_,11.8
_06237_,11.8
_07162_,11.8
_08078_,11.8
_08604_,11.8
_08763_,11.8
_08778_,11.8
_09944_,11.8
_10348_,11.8
_10546_,11.8
_10739_,11.8
_10818_,11.8
_11431_,11.8
_11550_,11.8
net1089,11.8
_00803_,11.795
_00036_,11.78
_00152_,11.78
_02124_,11.78
_03492_,11.78
_04953_,11.78
_04985_,11.78
_05093_,11.78
_05656_,11.78
_05722_,11.78
_07946_,11.78
_09882_,11.78
_11322_,11.78
_01512_,11.77
_01545_,11.76
_01926_,11.76
_04231_,11.76
_06441_,11.76
_06827_,11.76
_06894_,11.76
_09827_,11.76
_02933_,11.74
_05442_,11.74
_07983_,11.74
_08860_,11.74
_09140_,11.74
_09366_,11.74
_09995_,11.74
net747,11.74
_03129_,11.73
_01503_,11.72
_01509_,11.72
_01636_,11.72
_01933_,11.72
_02723_,11.72
_05246_,11.72
_08269_,11.72
_09934_,11.72
_10290_,11.72
top_inst.axis_out_inst.out_buff_data\[42\],11.72
_01825_,11.71
_08990_,11.71
net210,11.71
_01243_,11.7
_04050_,11.7
_04262_,11.7
_04842_,11.7
_05686_,11.7
_05882_,11.7
_06747_,11.7
_07021_,11.7
_09033_,11.7
_09062_,11.7
_09718_,11.7
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[5\],11.7
net729,11.7
_03191_,11.68
_04954_,11.68
_06613_,11.68
_07244_,11.68
_07973_,11.68
_11403_,11.68
net621,11.68
_06268_,11.67
_00554_,11.665
_02042_,11.66
_02915_,11.66
_03101_,11.66
_03491_,11.66
_04542_,11.66
_07705_,11.66
_09422_,11.66
_10063_,11.66
_10746_,11.66
output_tdata[119],11.66
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[1\]\[22\],11.66
top_inst.skew_buff_inst.row\[0\].output_reg\[5\],11.66
net187,11.66
net413,11.66
_04541_,11.64
_09225_,11.64
_11234_,11.64
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[27\],11.64
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[23\],11.64
_02743_,11.635
_01204_,11.62
_02228_,11.62
_03859_,11.62
_04356_,11.62
_04836_,11.62
_08783_,11.62
_08805_,11.62
_08832_,11.62
_01254_,11.6
_01372_,11.6
_01816_,11.6
_03450_,11.6
_03825_,11.6
_04883_,11.6
_07103_,11.6
_09916_,11.6
_10786_,11.6
_10822_,11.6
_11515_,11.6
net508,11.6
_01228_,11.58
_01383_,11.58
_06763_,11.58
_07240_,11.58
_07880_,11.58
_08176_,11.58
_08426_,11.58
_08581_,11.58
_08819_,11.58
_09063_,11.58
_09922_,11.58
_10672_,11.58
_11296_,11.58
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[0\]\[2\],11.58
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[12\],11.58
net1058,11.58
_01446_,11.56
_04419_,11.56
_06133_,11.56
_08037_,11.56
_08496_,11.56
_08605_,11.56
_08712_,11.56
_09243_,11.56
_10996_,11.56
_11284_,11.56
top_inst.axis_out_inst.out_buff_data\[109\],11.56
net493,11.56
_05673_,11.55
_03850_,11.545
_01203_,11.54
_01695_,11.54
_01973_,11.54
_03058_,11.54
_03206_,11.54
_04037_,11.54
_05771_,11.54
_06885_,11.54
_07965_,11.54
_09002_,11.54
_09737_,11.54
_10136_,11.54
_10729_,11.54
_10991_,11.54
net425,11.525
_01267_,11.52
_03064_,11.52
_05918_,11.52
_06223_,11.52
_06671_,11.52
_07786_,11.52
_01516_,11.5
_04699_,11.5
_06561_,11.5
_07139_,11.5
_07657_,11.5
_09051_,11.5
_09426_,11.5
_09580_,11.5
_10214_,11.5
_10343_,11.5
_10532_,11.5
_11017_,11.5
net1124,11.5
_00388_,11.48
_03300_,11.48
_11324_,11.48
top_inst.axis_out_inst.out_buff_data\[14\],11.48
_01955_,11.46
_04554_,11.46
_06103_,11.46
_06473_,11.46
_06956_,11.46
_07430_,11.46
_07674_,11.46
_07765_,11.46
_07938_,11.46
_09486_,11.46
_10317_,11.46
top_inst.deskew_buff_inst.col_input\[103\],11.46
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[20\],11.46
net728,11.46
_01537_,11.44
_01548_,11.44
_03814_,11.44
_04317_,11.44
_09298_,11.44
_09856_,11.44
_10155_,11.44
net583,11.44
_00869_,11.425
_02993_,11.42
_03126_,11.42
_03310_,11.42
_03407_,11.42
_04401_,11.42
_04411_,11.42
_05048_,11.42
_05890_,11.42
_06889_,11.42
_07346_,11.42
_08914_,11.42
_11546_,11.42
_11587_,11.42
top_inst.skew_buff_inst.row\[2\].has_delay.shift_reg\[1\]\[1\],11.42
_02655_,11.41
_03835_,11.41
net267,11.405
_04774_,11.4
_08735_,11.4
_09760_,11.4
_03471_,11.38
_06616_,11.38
_09658_,11.38
_10185_,11.38
_10515_,11.38
_10521_,11.38
_10901_,11.38
top_inst.axis_out_inst.out_buff_data\[41\],11.38
net930,11.38
_00489_,11.375
_06575_,11.375
_07473_,11.37
net677,11.37
_00736_,11.365
_00791_,11.365
_02651_,11.36
_04238_,11.36
_04880_,11.36
_07180_,11.36
_07869_,11.36
_11389_,11.36
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.weight_reg\[0\],11.36
top_inst.skew_buff_inst.row\[3\].has_delay.shift_reg\[0\]\[7\],11.36
top_inst.skew_buff_inst.row\[3\].has_delay.shift_reg\[2\]\[7\],11.36
_02204_,11.34
_02542_,11.34
_02603_,11.34
_02749_,11.34
_02789_,11.34
_02994_,11.34
_05484_,11.34
_06374_,11.34
_06782_,11.34
_07261_,11.34
_08912_,11.34
_09059_,11.34
_09670_,11.34
_09746_,11.34
_10213_,11.34
_11146_,11.34
_11193_,11.34
_03293_,11.33
_02557_,11.32
_03012_,11.32
_05186_,11.32
_05878_,11.32
_07509_,11.32
_10208_,11.32
_10842_,11.32
top_inst.axis_out_inst.out_buff_data\[18\],11.32
top_inst.axis_out_inst.out_buff_data\[51\],11.32
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[0\]\[30\],11.32
top_inst.valid_pipe\[2\],11.32
_00700_,11.305
_01452_,11.3
_01634_,11.3
_03060_,11.3
_06754_,11.3
_07434_,11.3
_08189_,11.3
_08482_,11.3
_01723_,11.28
_01828_,11.28
_04058_,11.28
_06877_,11.28
_07216_,11.28
_08048_,11.28
_08293_,11.28
_08651_,11.28
_10167_,11.28
_09467_,11.27
_01463_,11.26
_03568_,11.26
_04311_,11.26
_04558_,11.26
_06434_,11.26
_08980_,11.26
_11086_,11.26
output_tdata[31],11.26
output_tdata[5],11.26
top_inst.deskew_buff_inst.col_input\[123\],11.26
net296,11.26
net618,11.26
_00709_,11.245
_01869_,11.24
_02209_,11.24
_02781_,11.24
_03637_,11.24
_03755_,11.24
_04812_,11.24
_05136_,11.24
_05870_,11.24
_07272_,11.24
_08053_,11.24
_09834_,11.24
_09906_,11.24
_09994_,11.24
top_inst.deskew_buff_inst.col_input\[41\],11.24
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[1\]\[12\],11.24
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[1\]\[25\],11.24
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[7\],11.24
net404,11.24
net986,11.24
_04172_,11.23
_01867_,11.22
_01970_,11.22
_02153_,11.22
_03590_,11.22
_03782_,11.22
_04593_,11.22
_09248_,11.22
load_weight,11.22
_02705_,11.2
_04830_,11.2
_06291_,11.2
_06476_,11.2
_06794_,11.2
_09676_,11.2
_09949_,11.2
_10410_,11.2
_10860_,11.2
_11245_,11.2
top_inst.grid_inst.rows\[0\].cols\[0\].pe_inst.weight_reg\[6\],11.2
top_inst.skew_buff_inst.row\[1\].output_reg\[5\],11.2
top_inst.skew_buff_inst.row\[3\].has_delay.shift_reg\[1\]\[7\],11.2
net631,11.2
_02077_,11.18
_02872_,11.18
_03151_,11.18
_04016_,11.18
_06305_,11.18
_08229_,11.18
_08485_,11.18
_09509_,11.18
_11535_,11.18
net250,11.18
_07773_,11.17
net641,11.165
net663,11.165
_01321_,11.16
_02189_,11.16
_02474_,11.16
_03025_,11.16
_03244_,11.16
_03256_,11.16
_03953_,11.16
_04758_,11.16
_08637_,11.16
_09764_,11.16
_10360_,11.16
_10549_,11.16
_11253_,11.16
_02259_,11.14
_02607_,11.14
_05382_,11.14
_05431_,11.14
_06517_,11.14
_06544_,11.14
_10013_,11.14
_11423_,11.14
net725,11.14
_11644_,11.135
_09275_,11.13
_02121_,11.12
_03281_,11.12
_05390_,11.12
_05394_,11.12
_05684_,11.12
_05687_,11.12
_06303_,11.12
_07058_,11.12
_07925_,11.12
_11042_,11.12
top_inst.axis_in_inst.inbuf_bus\[2\],11.12
net921,11.12
_01684_,11.1
_05185_,11.1
_07910_,11.1
_08429_,11.1
_10150_,11.1
_11484_,11.1
_02084_,11.08
_02371_,11.08
_03379_,11.08
_03582_,11.08
_04440_,11.08
_06352_,11.08
_06395_,11.08
_06974_,11.08
_08401_,11.08
_09082_,11.08
_09252_,11.08
_11073_,11.08
_11507_,11.08
net396,11.08
net741,11.08
net511,11.065
_01263_,11.06
_02210_,11.06
_11185_,11.06
_02061_,11.05
_01848_,11.04
_03959_,11.04
_04893_,11.04
_05536_,11.04
_05712_,11.04
_06299_,11.04
_06461_,11.04
_07921_,11.04
_09330_,11.04
_09993_,11.04
_10310_,11.04
net776,11.04
_01913_,11.03
net988,11.03
_00562_,11.025
net412,11.025
_03412_,11.02
_05535_,11.02
_06024_,11.02
_07452_,11.02
_09173_,11.02
_11476_,11.02
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[25\],11.02
_01070_,11
_01271_,11
_01922_,11
_02398_,11
_02649_,11
_02679_,11
_03426_,11
_03837_,11
_06950_,11
_07126_,11
_07515_,11
_08354_,11
_08539_,11
_09385_,11
_09752_,11
_10253_,11
_10686_,11
net241,11
net1084,11
_01685_,10.98
_07968_,10.98
_09431_,10.98
_09749_,10.98
_10891_,10.98
_11607_,10.98
_00201_,10.96
_02290_,10.96
_02359_,10.96
_03131_,10.96
_03179_,10.96
_04845_,10.96
_06831_,10.96
_06963_,10.96
_07122_,10.96
_07232_,10.96
_08558_,10.96
_08575_,10.96
_09168_,10.96
_09279_,10.96
net172,10.96
net589,10.96
_02171_,10.94
_03510_,10.94
_05497_,10.94
_07391_,10.94
_08527_,10.94
_09242_,10.94
_00101_,10.925
_02902_,10.92
_03009_,10.92
_03240_,10.92
_04112_,10.92
_05180_,10.92
_05369_,10.92
_05539_,10.92
_05800_,10.92
_07004_,10.92
_08477_,10.92
_09301_,10.92
_11045_,10.92
_11459_,10.92
net888,10.92
_07562_,10.91
_02029_,10.9
_06997_,10.9
_10522_,10.9
_11316_,10.9
top_inst.axis_out_inst.out_buff_data\[21\],10.9
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[9\],10.9
net242,10.9
net948,10.9
net1009,10.9
net1064,10.9
_05940_,10.895
_00521_,10.885
_02063_,10.88
_02754_,10.88
_05662_,10.88
_06048_,10.88
_06355_,10.88
_07492_,10.88
_08124_,10.88
_09637_,10.88
_10079_,10.88
_10978_,10.88
input_tdata[16],10.88
input_tdata[24],10.88
input_tdata[8],10.88
net382,10.88
net991,10.88
_00619_,10.865
_00818_,10.865
_02254_,10.86
_02701_,10.86
_05598_,10.86
_05893_,10.86
_06307_,10.86
_08565_,10.86
_09548_,10.86
_09871_,10.86
_10387_,10.86
_11657_,10.86
_11720_,10.86
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[0\],10.86
_00297_,10.845
_00695_,10.845
_01600_,10.84
_02300_,10.84
_02769_,10.84
_03026_,10.84
_03599_,10.84
_03719_,10.84
_03872_,10.84
_03922_,10.84
_04582_,10.84
_04928_,10.84
_06808_,10.84
_08192_,10.84
_08904_,10.84
_09382_,10.84
_10519_,10.84
top_inst.axis_out_inst.out_buff_data\[117\],10.84
_02318_,10.82
_03136_,10.82
_05051_,10.82
_06531_,10.82
_07417_,10.82
_08839_,10.82
_09974_,10.82
top_inst.deskew_buff_inst.col_input\[68\],10.82
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[27\],10.82
net612,10.82
_02610_,10.8
_02630_,10.8
_03641_,10.8
_05815_,10.8
_08921_,10.8
_09572_,10.8
top_inst.axis_out_inst.out_buff_data\[27\],10.8
top_inst.skew_buff_inst.row\[2\].has_delay.shift_reg\[1\]\[3\],10.8
_00370_,10.785
_02219_,10.78
_04418_,10.78
_06546_,10.78
_07052_,10.78
_07772_,10.78
_07958_,10.78
_09955_,10.78
_11251_,10.78
_11664_,10.78
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[0\]\[17\],10.78
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[15\],10.78
net249,10.78
_03727_,10.76
_04270_,10.76
_04273_,10.76
_04404_,10.76
_04469_,10.76
_07200_,10.76
_09697_,10.76
_10804_,10.76
_11172_,10.76
_11328_,10.76
_11441_,10.76
net392,10.76
_08704_,10.755
_01947_,10.74
_02014_,10.74
_02086_,10.74
_02203_,10.74
_03331_,10.74
_04308_,10.74
_04587_,10.74
_05568_,10.74
_05676_,10.74
_06415_,10.74
_06499_,10.74
_07650_,10.74
_07784_,10.74
_08296_,10.74
_08753_,10.74
_09488_,10.74
_10126_,10.74
_10712_,10.74
_10977_,10.74
_11090_,10.74
top_inst.axis_out_inst.out_buff_data\[1\],10.74
top_inst.deskew_buff_inst.col_input\[48\],10.74
net868,10.74
_10673_,10.73
_01313_,10.72
_01583_,10.72
_02170_,10.72
_05650_,10.72
_07163_,10.72
_10835_,10.72
_11593_,10.72
_01667_,10.7
_01672_,10.7
_01715_,10.7
_03247_,10.7
_03917_,10.7
_04618_,10.7
_04897_,10.7
_05445_,10.7
_05622_,10.7
_05629_,10.7
_05984_,10.7
_08333_,10.7
_09320_,10.7
_11659_,10.7
_10816_,10.695
net1100,10.695
_03783_,10.69
_10241_,10.685
_00453_,10.68
_03847_,10.68
_06948_,10.68
_08119_,10.68
_09291_,10.68
_09954_,10.68
_04787_,10.66
_05707_,10.66
_06932_,10.66
_07444_,10.66
_07474_,10.66
_07475_,10.66
_08111_,10.66
_09870_,10.66
_09930_,10.66
top_inst.skew_buff_inst.row\[0\].output_reg\[1\],10.66
_01316_,10.64
_03222_,10.64
_03395_,10.64
_03601_,10.64
_04392_,10.64
_07323_,10.64
_08014_,10.64
_08837_,10.64
_09543_,10.64
_10504_,10.64
_11258_,10.64
_07375_,10.63
_00137_,10.625
_00702_,10.625
_08536_,10.625
_01709_,10.62
_02269_,10.62
_03145_,10.62
_03147_,10.62
_03933_,10.62
_04052_,10.62
_06493_,10.62
_06823_,10.62
_07953_,10.62
_10637_,10.62
net619,10.62
net694,10.62
_09334_,10.615
_04271_,10.6
_06293_,10.6
_06342_,10.6
_07649_,10.6
_08505_,10.6
_11718_,10.595
_00465_,10.585
_03088_,10.58
_03093_,10.58
_03405_,10.58
_03530_,10.58
_03581_,10.58
_03799_,10.58
_10260_,10.58
_04105_,10.56
_04147_,10.56
_06911_,10.56
_07047_,10.56
_11075_,10.56
_06523_,10.55
_01346_,10.54
_02437_,10.54
_03149_,10.54
_03655_,10.54
_03956_,10.54
_05560_,10.54
_06943_,10.54
_07268_,10.54
_07812_,10.54
_11272_,10.54
_02268_,10.52
_03487_,10.52
_05148_,10.52
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[2\]\[11\],10.52
top_inst.grid_inst.rows\[1\].cols\[1\].pe_inst.weight_reg\[0\],10.52
_01265_,10.5
_02108_,10.5
_05427_,10.5
_06125_,10.5
_07283_,10.5
_07785_,10.5
_08109_,10.5
_08385_,10.5
_08908_,10.5
_09717_,10.5
_09925_,10.5
net358,10.485
_03738_,10.48
_11498_,10.48
_01069_,10.465
_10021_,10.465
_04029_,10.46
_04387_,10.46
_05029_,10.46
_05706_,10.46
_08107_,10.46
_08286_,10.46
_09455_,10.46
_09555_,10.46
_10092_,10.46
_00485_,10.455
_00320_,10.44
_02256_,10.44
_03050_,10.44
_04475_,10.44
_04565_,10.44
_05450_,10.44
_06602_,10.44
top_inst.skew_buff_inst.row\[1\].output_reg\[6\],10.44
top_inst.skew_buff_inst.row\[2\].has_delay.shift_reg\[0\]\[2\],10.44
net1113,10.44
_03041_,10.43
_02335_,10.42
_03029_,10.42
_05868_,10.42
_06017_,10.42
_06687_,10.42
_07871_,10.42
_09983_,10.42
_11730_,10.42
input_tdata[17],10.42
input_tdata[27],10.42
net379,10.42
_03993_,10.41
_01424_,10.4
_02614_,10.4
_02721_,10.4
_03346_,10.4
_04310_,10.4
_04464_,10.4
_04579_,10.4
_06081_,10.4
_06447_,10.4
_06697_,10.4
_07470_,10.4
_10113_,10.4
_10623_,10.4
_11559_,10.4
top_inst.axis_out_inst.out_buff_data\[36\],10.4
top_inst.deskew_buff_inst.row\[1\].delayed_pass.shift_reg\[0\]\[5\],10.4
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[1\],10.4
net661,10.4
_06269_,10.39
_01370_,10.38
_01464_,10.38
_01746_,10.38
_02481_,10.38
_03798_,10.38
_05672_,10.38
_05961_,10.38
_06417_,10.38
_10171_,10.38
_10895_,10.38
_11218_,10.38
_11225_,10.38
top_inst.deskew_buff_inst.row\[2\].delayed_pass.shift_reg\[0\]\[21\],10.38
net194,10.38
_00237_,10.36
_04490_,10.36
_04598_,10.36
_04724_,10.36
_05689_,10.36
_06063_,10.36
_07679_,10.36
_09727_,10.36
_10694_,10.36
_10805_,10.36
_00256_,10.345
_02548_,10.34
_02587_,10.34
_02677_,10.34
_05253_,10.34
_05333_,10.34
_06064_,10.34
_10973_,10.34
_11067_,10.34
net746,10.34
_01868_,10.33
_04041_,10.33
net555,10.325
_00963_,10.32
_02328_,10.32
_03474_,10.32
_04398_,10.32
_04407_,10.32
_05118_,10.32
_08305_,10.32
_09900_,10.32
_11634_,10.32
output_tdata[14],10.32
output_tdata[41],10.32
output_tdata[63],10.32
top_inst.skew_buff_inst.row\[3\].output_reg\[3\],10.32
net1109,10.32
_08480_,10.31
_01451_,10.3
_02830_,10.3
_04391_,10.3
_05386_,10.3
_05719_,10.3
_06156_,10.3
_06390_,10.3
_07969_,10.3
_10463_,10.3
_11482_,10.3
_08779_,10.29
_03205_,10.28
_03843_,10.28
_04004_,10.28
_04556_,10.28
_05106_,10.28
_05176_,10.28
_05245_,10.28
_07735_,10.28
_08104_,10.28
_09034_,10.28
_09053_,10.28
_09696_,10.28
_09733_,10.28
_09864_,10.28
_10662_,10.28
_11457_,10.28
_02358_,10.26
_03260_,10.26
_05158_,10.26
_05974_,10.26
_06199_,10.26
_06511_,10.26
_07140_,10.26
_09599_,10.26
_09739_,10.26
_02418_,10.25
net560,10.245
_01677_,10.24
_01852_,10.24
_02211_,10.24
_02635_,10.24
_04909_,10.24
_09797_,10.24
_09943_,10.24
_10943_,10.24
_11016_,10.24
_02724_,10.23
_07179_,10.23
_02133_,10.22
_03455_,10.22
_04352_,10.22
_05877_,10.22
_05970_,10.22
_06353_,10.22
_07222_,10.22
output_tdata[28],10.22
_10952_,10.21
_01210_,10.2
_02778_,10.2
_02799_,10.2
_05220_,10.2
_06134_,10.2
_06755_,10.2
_08519_,10.2
_09456_,10.2
_09644_,10.2
_10698_,10.2
_11429_,10.2
_11487_,10.2
_00333_,10.18
_01183_,10.18
_01447_,10.18
_02765_,10.18
_03665_,10.18
_04082_,10.18
_04177_,10.18
_05671_,10.18
_06693_,10.18
_07959_,10.18
_08495_,10.18
_08610_,10.18
_08716_,10.18
_08737_,10.18
_09374_,10.18
_10897_,10.18
_08968_,10.175
_01836_,10.17
_01256_,10.16
_01972_,10.16
_02736_,10.16
_03779_,10.16
_05822_,10.16
_06573_,10.16
_07833_,10.16
_09818_,10.16
_10863_,10.16
net290,10.16
net423,10.16
net279,10.145
_02117_,10.14
_03384_,10.14
_08589_,10.14
_09606_,10.14
_01381_,10.12
_03495_,10.12
_03997_,10.12
_04256_,10.12
_04620_,10.12
_06243_,10.12
_06266_,10.12
top_inst.axis_out_inst.out_buff_data\[115\],10.12
top_inst.skew_buff_inst.row\[3\].output_reg\[5\],10.12
net919,10.12
_00915_,10.105
_02900_,10.1
_04263_,10.1
_08617_,10.1
_09668_,10.1
_11126_,10.1
_01269_,10.08
_02263_,10.08
_02653_,10.08
_03021_,10.08
_03605_,10.08
_04003_,10.08
_04098_,10.08
_04450_,10.08
_04454_,10.08
_04957_,10.08
_05542_,10.08
_07260_,10.08
_07489_,10.08
_08396_,10.08
_08726_,10.08
_09352_,10.08
_09986_,10.08
_10870_,10.08
_10962_,10.08
input_tdata[1],10.08
input_tdata[28],10.08
input_tdata[3],10.08
_02698_,10.075
_07770_,10.07
_00076_,10.065
_02064_,10.06
_02329_,10.06
_03364_,10.05
_00368_,10.045
_01414_,10.04
_01748_,10.04
_01936_,10.04
_02232_,10.04
_03294_,10.04
_03295_,10.04
_03646_,10.04
_03853_,10.04
_06101_,10.04
_06899_,10.04
_07201_,10.04
_07756_,10.04
_07809_,10.04
_08834_,10.04
_08879_,10.04
_09072_,10.04
_09222_,10.04
_09523_,10.04
_09529_,10.04
_09846_,10.04
_09867_,10.04
_10143_,10.04
_10938_,10.04
_11240_,10.04
net841,10.04
net603,10.025
_07480_,10.02
_07668_,10.02
_09045_,10.02
_10438_,10.02
net1120,10.02
_00620_,10
_04213_,10
_04507_,10
_05937_,10
_06021_,10
_07125_,10
_08390_,10
net856,10
output_tdata[29],9.99
_01300_,9.98
_02594_,9.98
_02955_,9.98
_03821_,9.98
_08264_,9.98
_10716_,9.98
_03985_,9.97
_01117_,9.965
_01074_,9.96
_01417_,9.96
_02405_,9.96
_02939_,9.96
_07265_,9.96
_08227_,9.96
_08796_,9.96
_09054_,9.96
_10173_,9.96
_10654_,9.96
net180,9.96
_03226_,9.95
_04910_,9.95
_00684_,9.945
_02430_,9.94
_04143_,9.94
_04394_,9.94
_05015_,9.94
_05194_,9.94
_05216_,9.94
_05409_,9.94
_05749_,9.94
_06986_,9.94
_07145_,9.94
_07234_,9.94
_07598_,9.94
_08328_,9.94
_08481_,9.94
_09274_,9.94
_09918_,9.94
_10368_,9.94
_11171_,9.94
_11731_,9.94
net594,9.94
_01241_,9.92
_01740_,9.92
_02152_,9.92
_03235_,9.92
_03305_,9.92
_04313_,9.92
_06020_,9.92
_06123_,9.92
_07245_,9.92
_07547_,9.92
_08773_,9.92
_09884_,9.92
_10999_,9.92
_06722_,9.915
_00545_,9.905
_01083_,9.905
net281,9.905
_03196_,9.9
_04854_,9.9
_06312_,9.9
_09828_,9.9
top_inst.deskew_buff_inst.row\[0\].delayed_pass.shift_reg\[1\]\[17\],9.9
top_inst.skew_buff_inst.row\[3\].has_delay.shift_reg\[2\]\[4\],9.9
net823,9.9
_01433_,9.88
_01517_,9.88
_03780_,9.88
_04179_,9.88
_08800_,9.88
_09061_,9.88
_11271_,9.88
output_tdata[15],9.88
output_tdata[73],9.88
output_tdata[79],9.88
_07751_,9.87
_00741_,9.865
net649,9.865
_01504_,9.86
_02052_,9.86
_04085_,9.86
_04647_,9.86
_06328_,9.86
_06358_,9.86
_08560_,9.86
_08907_,9.86
_09836_,9.86
_11621_,9.86
net451,9.86
net624,9.86
net881,9.86
net1094,9.86
_01584_,9.85
_02784_,9.84
_04056_,9.84
_05052_,9.84
_05494_,9.84
_06163_,9.84
_07832_,9.84
_08038_,9.84
_08933_,9.84
_01280_,9.82
_01614_,9.82
_01713_,9.82
_02149_,9.82
_02427_,9.82
_02805_,9.82
_02922_,9.82
_02950_,9.82
_03044_,9.82
_03764_,9.82
_05420_,9.82
_06587_,9.82
_06901_,9.82
_07024_,9.82
_07780_,9.82
_07913_,9.82
_08542_,9.82
_09018_,9.82
_09383_,9.82
_09565_,9.82
_09835_,9.82
_10989_,9.82
_03408_,9.8
_08049_,9.8
_10651_,9.8
_11372_,9.8
_00369_,9.785
net316,9.785
net584,9.785
_01144_,9.78
_03988_,9.78
_04153_,9.78
_04477_,9.78
_04785_,9.78
_04832_,9.78
_04843_,9.78
_05824_,9.78
_06686_,9.78
_08315_,9.78
_08367_,9.78
_09514_,9.78
_10195_,9.78
_10861_,9.78
_11194_,9.78
_11444_,9.78
_11629_,9.78
net898,9.78
_09848_,9.77
_00421_,9.76
_02874_,9.76
_03370_,9.76
_03537_,9.76
_03591_,9.76
_03659_,9.76
_03980_,9.76
_06411_,9.76
_11396_,9.76
_04415_,9.755
_07891_,9.75
_09127_,9.75
_00837_,9.745
_01393_,9.74
_02764_,9.74
_03585_,9.74
_04090_,9.74
_04376_,9.74
_06597_,9.74
_07041_,9.74
_07941_,9.74
_08084_,9.74
_09001_,9.74
_09235_,9.74
_09379_,9.74
_09652_,9.74
_09840_,9.74
_10279_,9.74
_11120_,9.74
_11190_,9.74
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[18\],9.74
net506,9.74
_10319_,9.73
_00028_,9.725
_03750_,9.72
_04468_,9.72
_05072_,9.72
_06336_,9.72
_08569_,9.72
_08717_,9.72
_08835_,9.72
_00427_,9.705
_00568_,9.705
_00570_,9.705
net283,9.705
net735,9.705
_02843_,9.7
_03906_,9.7
_05685_,9.7
_05842_,9.7
_06471_,9.7
_07360_,9.7
_07918_,9.7
_08040_,9.7
_08747_,9.7
_09436_,9.7
_09447_,9.7
_11506_,9.7
_11549_,9.7
