net,length_um
_08164_,115.32
_07077_,115.295
top_inst.grid_inst.data_path_wires\[2\]\[7\],115.2
_02893_,115.065
clknet_leaf_139_clk,115.06
_09213_,114.99
_08452_,114.91
_08897_,114.9
_07639_,114.89
top_inst.deskew_buff_inst.col_input\[25\],114.87
_07073_,114.815
top_inst.grid_inst.rows\[1\].cols\[0\].pe_inst.sum_output\[8\],114.805
top_inst.grid_inst.rows\[1\].cols\[3\].pe_inst.sum_output\[6\],114.8
_03711_,114.58
_06202_,114.5
top_inst.grid_inst.rows\[2\].cols\[2\].pe_inst.sum_output\[10\],114.5
_08167_,114.34
_04827_,114.32
_07640_,114.25
_04969_,114.22
top_inst.grid_inst.data_path_wires\[16\]\[5\],114.12
top_inst.grid_inst.rows\[0\].cols\[3\].pe_inst.sum_output\[0\],114.12
_07066_,114.08
_04509_,113.995
_07064_,113.96
_09417_,113.92
_01562_,113.91
_11696_,113.82
top_inst.grid_inst.data_path_wires\[7\]\[2\],113.815
_05097_,113.52
top_inst.grid_inst.data_path_wires\[3\]\[6\],113.52
_07055_,113.48
_10607_,113.48
top_inst.grid_inst.rows\[3\].cols\[3\].pe_inst.weight_reg\[5\],113.48
_07070_,113.44
top_inst.grid_inst.rows\[1\].cols\[2\].pe_inst.weight_reg\[7\],113.4
_04938_,113.375
_05178_,113.32
top_inst.grid_inst.rows\[2\].cols\[3\].pe_inst.sum_output\[11\],113.28
_05283_,113.24
net737,113.18
_02468_,113.14
top_inst.grid_inst.data_path_wires\[12\]\[3\],113.13
_06205_,112.98
top_inst.grid_inst.rows\[2\].cols\[0\].pe_inst.sum_output\[2\],112.98
_04687_,112.94
net906,112.92
clknet_leaf_120_clk,112.86
_10059_,112.8
_11147_,112.79
top_inst.grid_inst.data_path_wires\[3\]\[3\],112.78
_10594_,112.6
_07844_,112.59
_11161_,112.575
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[16\],112.52
top_inst.grid_inst.data_path_wires\[17\]\[1\],112.43
top_inst.grid_inst.rows\[2\].cols\[1\].pe_inst.sum_output\[15\],112.29
_05301_,112.1
top_inst.grid_inst.data_path_wires\[7\]\[1\],111.92
_10641_,111.735
_08142_,111.7
top_inst.deskew_buff_inst.col_input\[27\],111.64
_11699_,111.55
_03422_,111.5
_06639_,111.48
